split,fold,row_index,CID_std,SMILES_canonical,label_std,nn_tanimoto_to_train
M4_butina_lco5,0,0,2758873,CCn1cc[n+](C)c1,1,0.6666666666666666
M4_butina_lco5,0,1,2758873,CCn1cc[n+](C)c1,1,0.6666666666666666
M4_butina_lco5,0,2,2758873,CCn1cc[n+](C)c1,1,0.6666666666666666
M4_butina_lco5,0,3,2758873,CCn1cc[n+](C)c1,1,0.6666666666666666
M4_butina_lco5,0,4,2758873,CCn1cc[n+](C)c1,1,0.6666666666666666
M4_butina_lco5,0,5,2758873,CCn1cc[n+](C)c1,1,0.6666666666666666
M4_butina_lco5,0,15,2734167,CCCCn1cc[n+](C)c1C,0,0.6428571428571429
M4_butina_lco5,0,23,13240377,CCCC[n+]1ccccc1C,0,0.4666666666666667
M4_butina_lco5,0,60,25213,OCCN(CCO)CCO,0,0.6
M4_butina_lco5,0,61,5281064,CC(C)NCC(O)COc1ccc(COCCOC(C)C)cc1,1,0.5660377358490566
M4_butina_lco5,0,62,5281064,CC(C)NCC(O)COc1ccc(COCCOC(C)C)cc1,1,0.5660377358490566
M4_butina_lco5,0,63,5281064,CC(C)NCC(O)COc1ccc(COCCOC(C)C)cc1,1,0.5660377358490566
M4_butina_lco5,0,64,5281064,CC(C)NCC(O)COc1ccc(COCCOC(C)C)cc1,1,0.5660377358490566
M4_butina_lco5,0,65,5281064,CC(C)NCC(O)COc1ccc(COCCOC(C)C)cc1,1,0.5660377358490566
M4_butina_lco5,0,66,5281064,CC(C)NCC(O)COc1ccc(COCCOC(C)C)cc1,1,0.5660377358490566
M4_butina_lco5,0,67,16180,O=C(O)COc1ccc(Cl)cc1Cl,0,0.696969696969697
M4_butina_lco5,0,81,4343483,F[B-](F)(F)F,0,0.1111111111111111
M4_butina_lco5,0,83,26633,CCN(CC)C(=S)[S-],1,0.47619047619047616
M4_butina_lco5,0,84,26633,CCN(CC)C(=S)[S-],1,0.47619047619047616
M4_butina_lco5,0,85,26633,CCN(CC)C(=S)[S-],1,0.47619047619047616
M4_butina_lco5,0,86,26633,CCN(CC)C(=S)[S-],1,0.47619047619047616
M4_butina_lco5,0,87,26633,CCN(CC)C(=S)[S-],1,0.47619047619047616
M4_butina_lco5,0,88,26633,CCN(CC)C(=S)[S-],1,0.47619047619047616
M4_butina_lco5,0,98,20055509,CN1[C@@H]2CC(OC(=O)[C@H](CO)c3ccccc3)C[C@H]1[C@@H]1O[C@@H]12,0,0.6938775510204082
M4_butina_lco5,0,148,8413,Cc1cc(-c2ccc(N)c(C)c2)ccc1N,0,0.6190476190476191
M4_butina_lco5,0,163,516872,N#C[S-],0,0.3333333333333333
M4_butina_lco5,0,170,117746,Cn1sccc1=O,0,0.45161290322580644
M4_butina_lco5,0,177,3001055,CNC(=C[N+](=O)[O-])NCCSCc1ccc(CN(C)C)o1,1,0.5932203389830508
M4_butina_lco5,0,178,3001055,CNC(=C[N+](=O)[O-])NCCSCc1ccc(CN(C)C)o1,1,0.5932203389830508
M4_butina_lco5,0,179,3001055,CNC(=C[N+](=O)[O-])NCCSCc1ccc(CN(C)C)o1,1,0.5932203389830508
M4_butina_lco5,0,180,3001055,CNC(=C[N+](=O)[O-])NCCSCc1ccc(CN(C)C)o1,1,0.5932203389830508
M4_butina_lco5,0,181,3001055,CNC(=C[N+](=O)[O-])NCCSCc1ccc(CN(C)C)o1,1,0.5932203389830508
M4_butina_lco5,0,182,3001055,CNC(=C[N+](=O)[O-])NCCSCc1ccc(CN(C)C)o1,1,0.5932203389830508
M4_butina_lco5,0,197,5281056,CC(C)(C)NC[C@H](O)COc1nsnc1N1CCOCC1,0,0.390625
M4_butina_lco5,0,229,5281055,CN(CCOc1ccc(CC2SC(=O)NC2=O)cc1)c1ccccn1,0,0.5245901639344263
M4_butina_lco5,0,230,3604,C[N+](C)(C)CCCCCC[N+](C)(C)C,0,0.4375
M4_butina_lco5,0,238,5807,CC(C)NCC(O)c1ccc(O)c(O)c1,1,0.6875
M4_butina_lco5,0,239,5807,CC(C)NCC(O)c1ccc(O)c(O)c1,1,0.6875
M4_butina_lco5,0,240,5807,CC(C)NCC(O)c1ccc(O)c(O)c1,1,0.6875
M4_butina_lco5,0,241,5807,CC(C)NCC(O)c1ccc(O)c(O)c1,1,0.6875
M4_butina_lco5,0,242,5807,CC(C)NCC(O)c1ccc(O)c(O)c1,1,0.6875
M4_butina_lco5,0,243,5807,CC(C)NCC(O)c1ccc(O)c(O)c1,1,0.6875
M4_butina_lco5,0,263,5284385,COc1ccc(N)c(OC)c1,0,0.64
M4_butina_lco5,0,283,101526,COc1c(N2CC3CCCNC3C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12,1,0.4383561643835616
M4_butina_lco5,0,284,101526,COc1c(N2CC3CCCNC3C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12,1,0.4383561643835616
M4_butina_lco5,0,285,101526,COc1c(N2CC3CCCNC3C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12,1,0.4383561643835616
M4_butina_lco5,0,286,101526,COc1c(N2CC3CCCNC3C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12,1,0.4383561643835616
M4_butina_lco5,0,287,101526,COc1c(N2CC3CCCNC3C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12,1,0.4383561643835616
M4_butina_lco5,0,288,101526,COc1c(N2CC3CCCNC3C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12,1,0.4383561643835616
M4_butina_lco5,0,308,5284570,CN1CCC23c4c5ccc(O)c4OC2C(=O)CCC3C1C5,1,0.6491228070175439
M4_butina_lco5,0,309,5284570,CN1CCC23c4c5ccc(O)c4OC2C(=O)CCC3C1C5,1,0.6491228070175439
M4_butina_lco5,0,310,5284570,CN1CCC23c4c5ccc(O)c4OC2C(=O)CCC3C1C5,1,0.6491228070175439
M4_butina_lco5,0,311,5284570,CN1CCC23c4c5ccc(O)c4OC2C(=O)CCC3C1C5,1,0.6491228070175439
M4_butina_lco5,0,312,5284570,CN1CCC23c4c5ccc(O)c4OC2C(=O)CCC3C1C5,1,0.6491228070175439
M4_butina_lco5,0,313,5284570,CN1CCC23c4c5ccc(O)c4OC2C(=O)CCC3C1C5,1,0.6491228070175439
M4_butina_lco5,0,334,20708,CCCCCCCCCCCCCC[N+](C)(C)C,1,0.6
M4_butina_lco5,0,335,20708,CCCCCCCCCCCCCC[N+](C)(C)C,1,0.6
M4_butina_lco5,0,336,20708,CCCCCCCCCCCCCC[N+](C)(C)C,1,0.6
M4_butina_lco5,0,337,20708,CCCCCCCCCCCCCC[N+](C)(C)C,1,0.6
M4_butina_lco5,0,338,20708,CCCCCCCCCCCCCC[N+](C)(C)C,1,0.6
M4_butina_lco5,0,339,20708,CCCCCCCCCCCCCC[N+](C)(C)C,1,0.6
M4_butina_lco5,0,340,5284451,COc1ccc(CN(CCN(C)C)c2ccccn2)cc1,1,0.5531914893617021
M4_butina_lco5,0,341,5284451,COc1ccc(CN(CCN(C)C)c2ccccn2)cc1,1,0.5531914893617021
M4_butina_lco5,0,342,5284451,COc1ccc(CN(CCN(C)C)c2ccccn2)cc1,1,0.5531914893617021
M4_butina_lco5,0,343,5284451,COc1ccc(CN(CCN(C)C)c2ccccn2)cc1,1,0.5531914893617021
M4_butina_lco5,0,344,5284451,COc1ccc(CN(CCN(C)C)c2ccccn2)cc1,1,0.5531914893617021
M4_butina_lco5,0,345,5284451,COc1ccc(CN(CCN(C)C)c2ccccn2)cc1,1,0.5531914893617021
M4_butina_lco5,0,346,7814,Nc1ccc(N)cc1,0,0.6153846153846154
M4_butina_lco5,0,357,16700,CCCCCCCCCCCCOS(=O)(=O)O,0,0.6153846153846154
M4_butina_lco5,0,360,18340,COc1ccc(OC)c(C(O)CNC(=O)CN)c1,1,0.4583333333333333
M4_butina_lco5,0,361,18340,COc1ccc(OC)c(C(O)CNC(=O)CN)c1,1,0.4583333333333333
